sp,seed_source,id,trt,block,seedling,date_1,month_1,ht_1,rcd_1,notes_1,date_2,month_2,ht_2,rcd_2,root_2,shoot_2,rootshoot_2,notes_2,date_3,month_3,ht_3,rcd_3,root_3,shoot_3,rootshoot_3,mdwp_3,pdwp_3,notes_3,date_4,month_4,ht_4,rcd_4,root_4,shoot_4,rootshoot_4,mdwp_4,pdwp_4,100mdwp_4,100pdwp_4,notes_4,date_5,month_5,ht_5,rcd_5,notes_5
pimo,pimo,427,c,1,1,5/15/2022,May,3.5,3,,,,,,,,,,,,,,,,,,,,12/8/2022,December,,,,,,,,,,,12/12/2022,December,11.5,6.65,
pimo,pimo,x,c,1,2,5/15/2022,May,5.5,3,,,,,,,,,,9/6/2022,Aug/Sept,12.8,5.76,11.835,13.285,0.890854347,-1.35,-0.37,,,,,,,,,,,,,,12/12/2022,December,x,x,
pimo,pimo,428,c,1,3,5/15/2022,May,2.6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,10.4,7.55,
pimo,pimo,429,c,1,4,5/15/2022,May,4.6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,16,7.93,
pimo,pimo,430,c,1,5,5/15/2022,May,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,28.9,7.01,
pimo,pimo,431,c,1,6,5/15/2022,May,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,13.9,7.23,
pimo,pimo,432,c,1,7,5/15/2022,May,6.1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,28.6,8.83,
pimo,pimo,433,c,1,8,5/15/2022,May,5.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,11.4,4.1,
pimo,pimo,x,c,1,9,5/15/2022,May,4.7,3,,6/24/2022,June,12.7,4,8.089,9.759,0.828875909,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,x,x,
pimo,pimo,434,c,1,10,5/15/2022,May,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,19.5,7.28,
pimo,pimo,435,c,1,11,5/15/2022,May,3.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,15.6,4.89,
pimo,pimo,436,c,1,12,5/15/2022,May,6.4,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,18.5,5.95,
pimo,pimo,437,c,1,13,5/15/2022,May,4.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,14.3,5.53,
pimo,pimo,438,c,1,14,5/15/2022,May,3.9,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,11.7,6.97,
pimo,pimo,439,c,1,15,5/15/2022,May,3.9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,16.6,7.28,
pimo,pimo,440,c,1,16,5/15/2022,May,4,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,20,7.06,
pimo,pimo,441,c,2,1,5/15/2022,May,9.2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,21.9,7.57,
pimo,pimo,442,c,2,2,5/15/2022,May,5.2,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,26.8,7.27,
pimo,pimo,443,c,2,3,5/15/2022,May,7.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,14.6,7.26,
pimo,pimo,x,c,2,4,5/15/2022,May,6.4,3,,6/24/2022,June,13.5,4,8.575,9.904,0.865811793,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,x,x,
pimo,pimo,444,c,2,5,5/15/2022,May,4.1,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,16.2,5.55,
pimo,pimo,445,c,2,6,5/15/2022,May,5.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,15,6.84,
pimo,pimo,446,c,2,7,5/15/2022,May,5.4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,17.4,6.4,
pimo,pimo,447,c,2,8,5/15/2022,May,8.4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,15.5,5.77,
pimo,pimo,448,c,2,9,5/15/2022,May,7.1,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,20.9,7.65,
pimo,pimo,449,c,2,10,5/15/2022,May,5.1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,10.4,7.54,
pimo,pimo,450,c,2,11,5/15/2022,May,6.1,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,17.2,8.53,
pimo,pimo,451,c,2,12,5/15/2022,May,6.8,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,20,8.98,
pimo,pimo,452,c,2,13,5/15/2022,May,6.9,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,18.1,6.39,
pimo,pimo,453,c,2,14,5/15/2022,May,6.7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,22.5,6.4,
pimo,pimo,454,c,2,15,5/15/2022,May,6.2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,13.3,6.43,
pimo,pimo,455,c,2,16,5/15/2022,May,7.4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,15.2,8.91,
pimo,pimo,456,c,3,1,5/15/2022,May,6.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,8.2,5.58,
pimo,pimo,457,c,3,2,5/15/2022,May,5.9,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,17.3,7.83,
pimo,pimo,458,c,3,3,5/15/2022,May,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,12.4,4.81,
pimo,pimo,459,c,3,4,5/15/2022,May,3.8,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,9.9,6.67,
pimo,pimo,460,c,3,5,5/15/2022,May,6.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,14.7,5.71,
pimo,pimo,461,c,3,6,5/15/2022,May,3.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,13.5,5.3,
pimo,pimo,462,c,3,7,5/15/2022,May,9.9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,24,7.39,
pimo,pimo,463,c,3,8,5/15/2022,May,7.2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,19.3,6.69,
pimo,pimo,464,c,3,9,5/15/2022,May,4.6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,12.5,6.62,
pimo,pimo,465,c,3,10,5/15/2022,May,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,15,4.88,
pimo,pimo,466,c,3,11,5/15/2022,May,5.4,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,19,5.04,
pimo,pimo,467,c,3,12,5/15/2022,May,7.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,18.5,7.9,
pimo,pimo,468,c,3,13,5/15/2022,May,6.6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,17,6.34,
pimo,pimo,x,c,3,14,5/15/2022,May,7.4,3,,6/24/2022,June,14.8,4,8.057,9.041,0.891162482,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,x,x,
pimo,pimo,469,c,3,15,5/15/2022,May,4.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,13.7,6.31,
pimo,pimo,470,c,3,16,5/15/2022,May,10.4,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,23.2,6.61,
pimo,pimo,471,c,4,1,5/15/2022,May,7.4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,16.5,7.28,
pimo,pimo,472,c,4,2,5/15/2022,May,8,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,23,6.13,
pimo,pimo,473,c,4,3,5/15/2022,May,8.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,16.4,5.57,
pimo,pimo,474,c,4,4,5/15/2022,May,7,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,19.5,6.65,
pimo,pimo,475,c,4,5,5/15/2022,May,8.6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,13.5,5.58,
pimo,pimo,476,c,4,6,5/15/2022,May,7.6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,22.9,8.11,
pimo,pimo,477,c,4,7,5/15/2022,May,10.9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,21.5,6.48,
pimo,pimo,478,c,4,8,5/15/2022,May,8.9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,19.5,7.9,
pimo,pimo,479,c,4,9,5/15/2022,May,8.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,17,5.55,
pimo,pimo,480,c,4,10,5/15/2022,May,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,28.5,6.29,
pimo,pimo,481,c,4,11,5/15/2022,May,9.2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,18.4,6.01,
pimo,pimo,482,c,4,12,5/15/2022,May,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,17.6,5.53,
pimo,pimo,x,c,4,13,5/15/2022,May,5.5,3,,,,,,,,,,9/6/2022,Aug/Sept,9.7,5.46,9.499,11.947,0.795095003,-0.89,-0.33,,,,,,,,,,,,,,12/12/2022,December,x,x,
pimo,pimo,483,c,4,14,5/15/2022,May,9.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,21.1,6.97,
pimo,pimo,484,c,4,15,5/15/2022,May,8.7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,18.2,5.42,
pimo,pimo,x,c,4,16,5/15/2022,May,9.1,4,,,,,,,,,,,,,,,,,,,,12/8/2022,December,13.5,4.71,12.114,14.019,0.86411299,-0.54,-0.57,-0.76,-0.48,,12/12/2022,December,x,x,
pimo,pimo,485,c,5,1,5/15/2022,May,5.9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,20.3,5.16,
pimo,pimo,486,c,5,2,5/15/2022,May,6.1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,27,7.29,
pimo,pimo,487,c,5,3,5/15/2022,May,6.6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,19,5.59,
pimo,pimo,488,c,5,4,5/15/2022,May,6.6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,19.4,7.08,
pimo,pimo,489,c,5,5,5/15/2022,May,8.4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,15.7,5.25,
pimo,pimo,490,c,5,6,5/15/2022,May,8.4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,27.6,7.79,
pimo,pimo,x,c,5,7,5/15/2022,May,9.4,4,,,,,,,,,,9/6/2022,Aug/Sept,18.9,6.94,17.735,11.705,1.51516446,-1.2,-0.42,,,,,,,,,,,,,,12/12/2022,December,x,x,
pimo,pimo,491,c,5,8,5/15/2022,May,6.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,14.1,5.1,
pimo,pimo,492,c,5,9,5/15/2022,May,5.9,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,17.6,5.45,
pimo,pimo,493,c,5,10,5/15/2022,May,8.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,23,5.91,
pimo,pimo,494,c,5,11,5/15/2022,May,5.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,9.5,3.36,
pimo,pimo,495,c,5,12,5/15/2022,May,7.6,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,23,6.32,
pimo,pimo,496,c,5,13,5/15/2022,May,6.6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,12.9,6.08,
pimo,pimo,x,c,5,14,5/15/2022,May,7.1,2.5,,,,,,,,,,,,,,,,,,,,12/8/2022,December,20.5,6.23,14.142,12.869,1.098919885,-1.03,-0.59,-0.78,-0.48,,12/12/2022,December,x,x,
pimo,pimo,497,c,5,15,5/15/2022,May,8.2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,18.9,7.13,
pimo,pimo,498,c,5,16,5/15/2022,May,7.7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,22.5,7.61,
pimo,pimo,499,c,6,1,5/15/2022,May,7.6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,13,5.01,
pimo,pimo,500,c,6,2,5/15/2022,May,8.4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,19,5.25,
