Date_1,Species,Seed Source,ID,Treatment,Block,Seedling #,HT_1,RCD_1,notes_1,Date_2,HT_2,RCD_2,Root_2,Shoot_2,Root:Shoot_2,notes_2,Date_3,HT_3,RCD_3,Root_3,Shoot_3,Root:Shoot_3,75 % mid-day water potentials_3,75% pre-dawn water potentials_3,40% mid-day water potentials_3,40% pre-dawn water potentials_3,notes,Date_4,HT_4,RCD_4,Root_4,Shoot_4,Root:Shoot_4,75% mid-day water potentials_4,75% pre-dawn water potentials_4,40% mid-day water potentials_4,40% pre-dawn water potentials_4,100% mid-day water potential_4,100% pre-dawn water potentials_4,notes_4,Date_5,HT_5,RCD_5,notes_5
5/12/22,PIMO,PIMO,427,C,1,1,3.5,3,,6/24/22,,,,,,,,,,,,,,,,,,12/8/22,,,,,,,,,,,,,11/29/22,11.5,6.65,
5/12/22,PIMO,PIMO,x,C,1,2,5.5,3,,,,,,,,,9/6/22,12.8,5.76,11.835,13.285,0.890854347,-1.35,-0.37,,,,,,,,,,,,,,,,,11/29/22,x,x,
5/12/22,PIMO,PIMO,428,C,1,3,2.6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,10.4,7.55,
5/12/22,PIMO,PIMO,429,C,1,4,4.6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,16,7.93,
5/12/22,PIMO,PIMO,430,C,1,5,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,28.9,7.01,
5/12/22,PIMO,PIMO,431,C,1,6,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,13.9,7.23,
5/12/22,PIMO,PIMO,432,C,1,7,6.1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,28.6,8.83,
5/12/22,PIMO,PIMO,433,C,1,8,5.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,11.4,4.1,
5/12/22,PIMO,PIMO,x,C,1,9,4.7,3,,6/24/22,12.7,4,8.089,9.759,0.828875909,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,x,x,
5/12/22,PIMO,PIMO,434,C,1,10,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,19.5,7.28,
5/12/22,PIMO,PIMO,435,C,1,11,3.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,15.6,4.89,
5/12/22,PIMO,PIMO,436,C,1,12,6.4,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,18.5,5.95,
5/12/22,PIMO,PIMO,437,C,1,13,4.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,14.3,5.53,
5/12/22,PIMO,PIMO,438,C,1,14,3.9,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,11.7,6.97,
5/12/22,PIMO,PIMO,439,C,1,15,3.9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,16.6,7.28,
5/12/22,PIMO,PIMO,440,C,1,16,4,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,20,7.06,
5/12/22,PIMO,PIMO,441,C,2,1,9.2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,21.9,7.57,
5/12/22,PIMO,PIMO,442,C,2,2,5.2,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,26.8,7.27,
5/12/22,PIMO,PIMO,443,C,2,3,7.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,14.6,7.26,
5/12/22,PIMO,PIMO,x,C,2,4,6.4,3,,6/24/22,13.5,4,8.575,9.904,0.865811793,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,x,x,
5/12/22,PIMO,PIMO,444,C,2,5,4.1,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,16.2,5.55,
5/12/22,PIMO,PIMO,445,C,2,6,5.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,15,6.84,
5/12/22,PIMO,PIMO,446,C,2,7,5.4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,17.4,6.4,
5/12/22,PIMO,PIMO,447,C,2,8,8.4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,15.5,5.77,
5/12/22,PIMO,PIMO,448,C,2,9,7.1,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,20.9,7.65,
5/12/22,PIMO,PIMO,449,C,2,10,5.1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,10.4,7.54,
5/12/22,PIMO,PIMO,450,C,2,11,6.1,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,17.2,8.53,
5/12/22,PIMO,PIMO,451,C,2,12,6.8,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,20,8.98,
5/12/22,PIMO,PIMO,452,C,2,13,6.9,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,18.1,6.39,
5/12/22,PIMO,PIMO,453,C,2,14,6.7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,22.5,6.4,
5/12/22,PIMO,PIMO,454,C,2,15,6.2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,13.3,6.43,
5/12/22,PIMO,PIMO,455,C,2,16,7.4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,15.2,8.91,
5/12/22,PIMO,PIMO,456,C,3,1,6.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,8.2,5.58,
5/12/22,PIMO,PIMO,457,C,3,2,5.9,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,17.3,7.83,
5/12/22,PIMO,PIMO,458,C,3,3,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,12.4,4.81,
5/12/22,PIMO,PIMO,459,C,3,4,3.8,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,9.9,6.67,
5/12/22,PIMO,PIMO,460,C,3,5,6.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,14.7,5.71,
5/12/22,PIMO,PIMO,461,C,3,6,3.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,13.5,5.3,
5/12/22,PIMO,PIMO,462,C,3,7,9.9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,24,7.39,
5/12/22,PIMO,PIMO,463,C,3,8,7.2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,19.3,6.69,
5/12/22,PIMO,PIMO,464,C,3,9,4.6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,12.5,6.62,
5/12/22,PIMO,PIMO,465,C,3,10,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/22,15,4.88,
